GeneID	BN4_540	BN4_541	BN4_770	BN4_771	BN4_772	BN4_773
Gene663	874	1840	739	800	719	2138
Gene664	4029	2613	4779	3542	3176	3502
Gene665	7978	17133	6577	7479	5287	10148
Gene666	34	34	0	0	0	125
Gene667	349	923	900	1483	391	0
Gene668	578	1031	388	400	407	55
Gene669	21	62	80	92	15	0
Gene670	374	925	419	348	281	52
Gene671	17	0	0	0	54	0
Gene672	3066	7239	3896	10127	2251	6675
Gene673	111	18	0	108	26	0
Gene674	894	1732	662	443	736	1968
Gene675	3811	2257	2023	5242	1655	1149
Gene676	733	997	377	498	452	386
Gene677	485	439	202	372	249	1234
Gene678	47	124	0	0	212	0
Gene679	263	361	97	101	446	147
Gene680	160	560	60	0	73	0
Gene681	8	67	9	17	0	12
Gene682	5659	6869	2780	3233	4354	8100
Gene683	4004	7835	6223	3013	2970	1281
Gene684	1027	2159	355	384	619	1085
Gene685	66	132	60	99	95	0
Gene686	2319	3820	1850	2003	3348	3029
Gene687	328	380	209	193	118	61
Gene688	2124	3058	1189	1305	1483	1830
Gene689	3937	5283	2276	1782	1701	4673
Gene690	30	30	0	0	140	0
Gene691	812	652	388	384	381	323
Gene692	1447	3252	1015	2052	662	1624
Gene693	533	711	300	366	287	919
Gene694	323	267	91	92	214	0
Gene695	54	0	0	0	0	0
Gene696	205	303	85	53	106	134
Gene697	369	215	101	96	318	3833
Gene698	6	0	0	0	462	2
Gene699	727	739	290	316	464	172
Gene700	535	1895	373	152	720	0
Gene701	455	746	298	95	112	1365
Gene702	2061	2319	893	1279	874	1759
Gene703	335	281	92	311	116	0
Gene704	978	1345	139	270	287	2667
Gene705	1693	2770	755	590	334	356
Gene706	196	912	143	147	130	0
Gene707	1176	723	275	304	649	3138
Gene708	2076	3580	1531	1406	1846	6610
Gene709	995	1580	485	582	436	992
Gene710	92	0	12	0	48	0
Gene711	636	763	604	403	525	53
Gene712	6019	6658	3996	3839	5026	6823
Gene713	13719	22445	9560	9745	11065	17392
Gene714	102	169	42	7	40	37
Gene715	504	594	1239	4757	544	0
Gene716	8033	25980	5788	7777	6117	6392
Gene717	176	585	222	34	40	0
Gene718	102	37	0	0	0	0
Gene719	131	60	14	0	398	305
Gene720	3879	6242	4173	6539	2975	2936
Gene721	1197	1178	4928	10690	2020	52
Gene722	866	1239	275	209	634	375
Gene723	76	0	0	0	395	0
Gene724	5508	14036	4795	5947	3502	10599
Gene725	596	605	222	234	314	417
Gene726	2349	4067	1861	1861	1982	3095
Gene727	185	164	71	131	91	171
Gene728	1	0	0	0	15	19
Gene729	3562	3831	1947	1185	2917	1521
Gene730	5805	4192	0	0	17	0
Gene731	17	2	1	1	4	166
Gene732	73	14	14	47	0	56
Gene733	1007	1453	553	431	943	270
Gene734	81	566	424	474	57	141
Gene735	6451	6990	3400	6268	4192	6028
